,Question,Domain,Timestamp,PDF_Name,User_Type,Date
0,What about Fever level?,Orthopedics,2026-04-10T22:32:51.417,report_11.pdf,General User,2026-04-10
1,What about Fever level?,Endocrinology,2026-04-12T03:15:51.417,report_10.pdf,Patient,2026-04-12
2,What about Sugar level?,Cardiology,2026-04-10T11:13:51.417,report_12.pdf,General User,2026-04-10
3,What about Sugar level?,Orthopedics,2026-04-12T05:46:51.417,report_5.pdf,Patient,2026-04-12
4,What about Sugar level?,Endocrinology,2026-04-12T04:22:51.417,report_17.pdf,Patient,2026-04-12
5,What about Chest Pain level?,Cardiology,2026-04-11T09:39:51.417,report_20.pdf,Student,2026-04-11
6,What about Dizziness level?,Neurology,2026-04-11T10:10:51.417,report_15.pdf,Student,2026-04-11
7,What about Fatigue level?,Endocrinology,2026-04-12T13:03:51.417,report_19.pdf,Patient,2026-04-12
8,What about Chest Pain level?,Cardiology,2026-04-13T13:53:51.417,report_9.pdf,General User,2026-04-13
9,What about Dizziness level?,General,2026-04-11T03:59:51.417,report_14.pdf,Student,2026-04-11
10,What about Headache level?,Neurology,2026-04-12T21:18:51.417,report_17.pdf,General User,2026-04-12
11,What about Chest Pain level?,General,2026-04-12T06:25:51.417,report_9.pdf,General User,2026-04-12
12,What about BP level?,Orthopedics,2026-04-12T18:31:51.417,report_18.pdf,General User,2026-04-12
13,What about Headache level?,Cardiology,2026-04-13T01:06:51.417,report_9.pdf,General User,2026-04-13
14,What about BP level?,Cardiology,2026-04-13T12:53:51.417,report_14.pdf,Patient,2026-04-13
15,What about Dizziness level?,Neurology,2026-04-11T07:58:51.417,report_11.pdf,General User,2026-04-11
16,What about Fever level?,Endocrinology,2026-04-11T13:07:51.417,report_18.pdf,Student,2026-04-11
17,What about Chest Pain level?,Cardiology,2026-04-12T01:56:51.417,report_12.pdf,Patient,2026-04-12
18,What about Fatigue level?,Cardiology,2026-04-12T08:20:51.417,report_15.pdf,General User,2026-04-12
19,What about Fatigue level?,Endocrinology,2026-04-12T15:17:51.417,report_13.pdf,General User,2026-04-12
20,What about Headache level?,General,2026-04-12T11:36:51.417,report_6.pdf,General User,2026-04-12
21,What about Headache level?,Endocrinology,2026-04-11T08:49:51.417,report_16.pdf,General User,2026-04-11
22,What about Fever level?,Neurology,2026-04-10T05:51:51.417,report_20.pdf,Patient,2026-04-10
23,What about Fever level?,General,2026-04-10T05:27:51.417,report_14.pdf,General User,2026-04-10
24,What about Dizziness level?,Endocrinology,2026-04-10T21:54:51.417,report_10.pdf,General User,2026-04-10
25,What about Headache level?,General,2026-04-11T23:37:51.417,report_4.pdf,Patient,2026-04-11
26,What about Dizziness level?,Endocrinology,2026-04-12T09:02:51.417,report_14.pdf,Patient,2026-04-12
27,What about Chest Pain level?,Neurology,2026-04-13T07:26:51.417,report_12.pdf,Student,2026-04-13
28,What about Dizziness level?,Endocrinology,2026-04-10T22:44:51.417,report_12.pdf,General User,2026-04-10
29,What about Chest Pain level?,General,2026-04-12T04:53:51.417,report_2.pdf,Student,2026-04-12
30,What about Sugar level?,Endocrinology,2026-04-11T16:40:51.417,report_5.pdf,General User,2026-04-11
31,What about Sugar level?,Neurology,2026-04-10T11:12:51.417,report_14.pdf,Patient,2026-04-10
32,What about Fever level?,Endocrinology,2026-04-10T11:57:51.417,report_1.pdf,Patient,2026-04-10
33,What about Fever level?,Orthopedics,2026-04-13T07:44:51.417,report_6.pdf,General User,2026-04-13
34,What about Fever level?,Orthopedics,2026-04-12T21:19:51.417,report_19.pdf,General User,2026-04-12
35,What about Headache level?,Neurology,2026-04-10T11:01:51.417,report_19.pdf,Patient,2026-04-10
36,What about Chest Pain level?,Neurology,2026-04-11T12:20:51.417,report_18.pdf,Patient,2026-04-11
37,What about Dizziness level?,Endocrinology,2026-04-13T06:18:51.417,report_11.pdf,Patient,2026-04-13
38,What about Sugar level?,Endocrinology,2026-04-11T23:23:51.417,report_20.pdf,Patient,2026-04-11
39,What about Sugar level?,Endocrinology,2026-04-11T12:20:51.417,report_15.pdf,General User,2026-04-11
40,What about Dizziness level?,Neurology,2026-04-12T19:17:51.417,report_6.pdf,General User,2026-04-12
41,What about Fatigue level?,Cardiology,2026-04-13T11:27:51.417,report_16.pdf,Patient,2026-04-13
42,What about Chest Pain level?,Cardiology,2026-04-13T14:02:51.417,report_4.pdf,Patient,2026-04-13
43,What about Fever level?,Cardiology,2026-04-11T12:31:51.417,report_13.pdf,General User,2026-04-11
44,What about Dizziness level?,Orthopedics,2026-04-12T02:23:51.417,report_18.pdf,General User,2026-04-12
45,What about Fatigue level?,Neurology,2026-04-11T01:29:51.417,report_1.pdf,General User,2026-04-11
46,What about BP level?,Orthopedics,2026-04-10T05:23:51.417,report_4.pdf,General User,2026-04-10
47,What about Headache level?,Orthopedics,2026-04-12T10:27:51.417,report_20.pdf,Patient,2026-04-12
48,What about Headache level?,General,2026-04-11T06:02:51.417,report_11.pdf,General User,2026-04-11
49,What about BP level?,Cardiology,2026-04-11T23:53:51.417,report_12.pdf,Patient,2026-04-11
50,What about Dizziness level?,Endocrinology,2026-04-13T08:27:51.417,report_14.pdf,Patient,2026-04-13
51,What about Headache level?,General,2026-04-10T09:01:51.417,report_2.pdf,General User,2026-04-10
52,What about BP level?,General,2026-04-11T22:10:51.417,report_15.pdf,Patient,2026-04-11
53,What about BP level?,Endocrinology,2026-04-10T09:43:51.417,report_2.pdf,General User,2026-04-10
54,What about Fever level?,Orthopedics,2026-04-10T22:28:51.417,report_2.pdf,General User,2026-04-10
55,What about Chest Pain level?,Orthopedics,2026-04-10T14:13:51.417,report_12.pdf,Patient,2026-04-10
56,What about Fatigue level?,Cardiology,2026-04-10T15:44:51.417,report_11.pdf,General User,2026-04-10
57,What about Sugar level?,Neurology,2026-04-13T12:56:51.417,report_8.pdf,Student,2026-04-13
58,What about Sugar level?,Orthopedics,2026-04-10T21:36:51.417,report_7.pdf,Patient,2026-04-10
59,What about Dizziness level?,Cardiology,2026-04-13T09:41:51.417,report_11.pdf,Student,2026-04-13
60,What about Headache level?,Cardiology,2026-04-12T01:55:51.417,report_3.pdf,Student,2026-04-12
61,What about Sugar level?,Orthopedics,2026-04-13T09:05:51.417,report_18.pdf,Student,2026-04-13
62,What about Fatigue level?,General,2026-04-12T01:47:51.417,report_13.pdf,Student,2026-04-12
63,What about Dizziness level?,Endocrinology,2026-04-11T12:52:51.417,report_18.pdf,Student,2026-04-11
64,What about Chest Pain level?,General,2026-04-13T10:30:51.417,report_8.pdf,Student,2026-04-13
65,What about Sugar level?,Endocrinology,2026-04-11T12:21:51.417,report_12.pdf,General User,2026-04-11
66,What about Fatigue level?,Neurology,2026-04-11T11:05:51.417,report_8.pdf,Student,2026-04-11
67,What about Sugar level?,Orthopedics,2026-04-11T11:40:51.417,report_12.pdf,Patient,2026-04-11
68,What about BP level?,Orthopedics,2026-04-11T16:06:51.417,report_11.pdf,Patient,2026-04-11
69,What about Dizziness level?,Cardiology,2026-04-11T16:01:51.417,report_2.pdf,Patient,2026-04-11
70,What about Fever level?,General,2026-04-11T04:12:51.417,report_17.pdf,General User,2026-04-11
71,What about BP level?,Neurology,2026-04-13T07:02:51.417,report_9.pdf,General User,2026-04-13
72,What about Sugar level?,Neurology,2026-04-11T15:01:51.417,report_3.pdf,Patient,2026-04-11
73,What about Headache level?,Orthopedics,2026-04-12T18:46:51.417,report_19.pdf,General User,2026-04-12
74,What about Chest Pain level?,Endocrinology,2026-04-12T13:12:51.417,report_7.pdf,Student,2026-04-12
75,What about Chest Pain level?,Neurology,2026-04-13T11:46:51.417,report_1.pdf,Patient,2026-04-13
76,What about Sugar level?,Orthopedics,2026-04-12T02:06:51.417,report_1.pdf,General User,2026-04-12
77,What about Fever level?,Endocrinology,2026-04-10T13:32:51.417,report_6.pdf,General User,2026-04-10
78,What about Fatigue level?,Cardiology,2026-04-10T16:04:51.417,report_16.pdf,General User,2026-04-10
79,What about Sugar level?,Orthopedics,2026-04-11T19:31:51.417,report_2.pdf,Patient,2026-04-11
80,What about Chest Pain level?,Neurology,2026-04-12T15:31:51.417,report_20.pdf,General User,2026-04-12
81,What about Headache level?,Orthopedics,2026-04-10T21:11:51.417,report_1.pdf,Student,2026-04-10
82,What about BP level?,General,2026-04-13T03:56:51.417,report_1.pdf,General User,2026-04-13
83,What about Headache level?,Endocrinology,2026-04-12T18:28:51.417,report_12.pdf,Student,2026-04-12
84,What about Fatigue level?,Cardiology,2026-04-13T00:47:51.417,report_11.pdf,Student,2026-04-13
85,What about Headache level?,Orthopedics,2026-04-12T00:14:51.417,report_5.pdf,Patient,2026-04-12
86,What about Headache level?,Endocrinology,2026-04-13T04:52:51.417,report_12.pdf,General User,2026-04-13
87,What about Dizziness level?,Cardiology,2026-04-10T13:53:51.417,report_8.pdf,Student,2026-04-10
88,What about Headache level?,Endocrinology,2026-04-11T10:53:51.417,report_19.pdf,General User,2026-04-11
89,What about BP level?,Cardiology,2026-04-11T11:35:51.417,report_7.pdf,Patient,2026-04-11
90,What about Fatigue level?,General,2026-04-12T20:26:51.417,report_18.pdf,Student,2026-04-12
91,What about BP level?,Orthopedics,2026-04-11T17:08:51.417,report_13.pdf,Patient,2026-04-11
92,What about Dizziness level?,General,2026-04-12T07:49:51.417,report_3.pdf,General User,2026-04-12
93,What about Headache level?,Orthopedics,2026-04-10T07:32:51.417,report_9.pdf,Student,2026-04-10
94,What about BP level?,Orthopedics,2026-04-12T23:46:51.417,report_17.pdf,Student,2026-04-12
95,What about Chest Pain level?,Endocrinology,2026-04-10T23:10:51.417,report_14.pdf,Student,2026-04-10
96,What about Sugar level?,Orthopedics,2026-04-11T09:38:51.417,report_5.pdf,Patient,2026-04-11
97,What about Fever level?,Neurology,2026-04-12T14:15:51.417,report_2.pdf,Patient,2026-04-12
98,What about Fever level?,Cardiology,2026-04-12T03:55:51.417,report_9.pdf,General User,2026-04-12
99,What about BP level?,Cardiology,2026-04-12T01:41:51.417,report_6.pdf,General User,2026-04-12
100,What about BP level?,Endocrinology,2026-04-13T14:50:51.417,report_5.pdf,General User,2026-04-13
101,What about Fatigue level?,Cardiology,2026-04-12T11:20:51.417,report_1.pdf,General User,2026-04-12
102,What about Dizziness level?,Orthopedics,2026-04-11T11:23:51.417,report_20.pdf,Patient,2026-04-11
103,What about Chest Pain level?,Orthopedics,2026-04-11T12:05:51.417,report_8.pdf,Patient,2026-04-11
104,What about Sugar level?,Orthopedics,2026-04-13T03:35:51.417,report_1.pdf,General User,2026-04-13
105,What about Headache level?,General,2026-04-11T09:15:51.417,report_10.pdf,Student,2026-04-11
106,What about Headache level?,Neurology,2026-04-11T09:40:51.417,report_18.pdf,Student,2026-04-11
107,What about Headache level?,Neurology,2026-04-13T10:49:51.417,report_5.pdf,General User,2026-04-13
108,What about Fever level?,Cardiology,2026-04-12T20:30:51.417,report_7.pdf,Patient,2026-04-12
109,What about Chest Pain level?,Endocrinology,2026-04-13T08:17:51.417,report_4.pdf,Patient,2026-04-13
110,What about Chest Pain level?,Cardiology,2026-04-12T23:26:51.417,report_14.pdf,General User,2026-04-12
111,What about Headache level?,Orthopedics,2026-04-10T16:03:51.417,report_3.pdf,General User,2026-04-10
112,What about Fatigue level?,Endocrinology,2026-04-10T16:05:51.417,report_12.pdf,Student,2026-04-10
113,What about Fatigue level?,Neurology,2026-04-13T08:32:51.417,report_11.pdf,General User,2026-04-13
114,What about Fatigue level?,General,2026-04-11T03:20:51.417,report_4.pdf,General User,2026-04-11
115,What about Fatigue level?,Orthopedics,2026-04-11T07:58:51.417,report_5.pdf,Patient,2026-04-11
116,What about Chest Pain level?,Endocrinology,2026-04-10T17:15:51.417,report_8.pdf,General User,2026-04-10
117,What about Dizziness level?,Endocrinology,2026-04-11T23:59:51.417,report_19.pdf,General User,2026-04-11
118,What about Headache level?,Neurology,2026-04-10T16:34:51.417,report_13.pdf,Student,2026-04-10
119,What about BP level?,Cardiology,2026-04-13T13:48:51.417,report_6.pdf,Student,2026-04-13
120,What about Dizziness level?,Endocrinology,2026-04-13T06:50:51.417,report_20.pdf,Student,2026-04-13
121,What about Fatigue level?,Neurology,2026-04-11T07:22:51.417,report_8.pdf,Patient,2026-04-11
122,What about Headache level?,Cardiology,2026-04-11T23:01:51.417,report_6.pdf,Student,2026-04-11
123,What about Fever level?,Orthopedics,2026-04-11T03:30:51.417,report_2.pdf,Student,2026-04-11
124,What about Chest Pain level?,Neurology,2026-04-10T10:26:51.417,report_3.pdf,General User,2026-04-10
125,What about Dizziness level?,Cardiology,2026-04-12T13:08:51.417,report_18.pdf,General User,2026-04-12
126,What about Sugar level?,General,2026-04-10T08:50:51.417,report_9.pdf,Patient,2026-04-10
127,What about Chest Pain level?,General,2026-04-11T08:44:51.417,report_16.pdf,Patient,2026-04-11
128,What about Fatigue level?,Orthopedics,2026-04-11T09:24:51.417,report_9.pdf,Patient,2026-04-11
129,What about Chest Pain level?,Neurology,2026-04-11T09:32:51.417,report_18.pdf,General User,2026-04-11
130,What about Sugar level?,Orthopedics,2026-04-13T03:58:51.417,report_3.pdf,Patient,2026-04-13
131,What about Dizziness level?,Orthopedics,2026-04-11T10:19:51.417,report_15.pdf,Patient,2026-04-11
132,What about Fever level?,General,2026-04-12T16:19:51.417,report_12.pdf,Student,2026-04-12
133,What about Chest Pain level?,Endocrinology,2026-04-13T04:15:51.417,report_12.pdf,Student,2026-04-13
134,What about Sugar level?,Cardiology,2026-04-10T06:24:51.417,report_2.pdf,General User,2026-04-10
135,What about Fever level?,General,2026-04-12T01:30:51.417,report_8.pdf,General User,2026-04-12
136,What about Fever level?,General,2026-04-11T12:36:51.417,report_12.pdf,Patient,2026-04-11
137,What about Headache level?,Endocrinology,2026-04-10T12:22:51.417,report_17.pdf,Student,2026-04-10
138,What about Chest Pain level?,Cardiology,2026-04-12T23:09:51.417,report_7.pdf,Student,2026-04-12
139,What about Fever level?,General,2026-04-11T09:33:51.417,report_8.pdf,Patient,2026-04-11
140,What about Headache level?,Cardiology,2026-04-10T12:58:51.417,report_10.pdf,General User,2026-04-10
141,What about Dizziness level?,Cardiology,2026-04-11T04:34:51.417,report_14.pdf,Student,2026-04-11
142,What about Fever level?,Orthopedics,2026-04-12T15:38:51.417,report_7.pdf,Student,2026-04-12
143,What about Sugar level?,Endocrinology,2026-04-10T14:23:51.417,report_4.pdf,Student,2026-04-10
144,What about Headache level?,Orthopedics,2026-04-11T02:13:51.417,report_14.pdf,General User,2026-04-11
145,What about Chest Pain level?,Cardiology,2026-04-13T04:48:51.417,report_7.pdf,Student,2026-04-13
146,What about Headache level?,Orthopedics,2026-04-12T07:09:51.417,report_8.pdf,General User,2026-04-12
147,What about Dizziness level?,Orthopedics,2026-04-11T04:23:51.417,report_11.pdf,Patient,2026-04-11
148,What about Sugar level?,General,2026-04-10T14:19:51.417,report_8.pdf,Student,2026-04-10
149,What about Fatigue level?,Endocrinology,2026-04-11T04:28:51.417,report_9.pdf,Patient,2026-04-11
150,What about Headache level?,Orthopedics,2026-04-12T05:40:51.417,report_14.pdf,Student,2026-04-12
151,What about Fever level?,General,2026-04-11T07:50:51.417,report_3.pdf,Patient,2026-04-11
152,What about BP level?,Neurology,2026-04-11T02:18:51.417,report_13.pdf,Patient,2026-04-11
153,What about Headache level?,General,2026-04-10T22:25:51.417,report_6.pdf,General User,2026-04-10
154,What about Fever level?,Endocrinology,2026-04-11T17:36:51.417,report_9.pdf,Patient,2026-04-11
155,What about Dizziness level?,Neurology,2026-04-12T08:29:51.417,report_14.pdf,General User,2026-04-12
156,What about Fatigue level?,Endocrinology,2026-04-10T07:33:51.417,report_10.pdf,Student,2026-04-10
157,What about Headache level?,General,2026-04-12T23:00:51.417,report_18.pdf,Student,2026-04-12
158,What about Dizziness level?,Neurology,2026-04-11T23:48:51.417,report_13.pdf,General User,2026-04-11
159,What about Fever level?,General,2026-04-12T14:38:51.417,report_17.pdf,Patient,2026-04-12
160,What about Sugar level?,Neurology,2026-04-12T10:52:51.417,report_11.pdf,Student,2026-04-12
161,What about Chest Pain level?,General,2026-04-13T00:27:51.417,report_14.pdf,General User,2026-04-13
162,What about BP level?,Orthopedics,2026-04-12T17:04:51.417,report_15.pdf,General User,2026-04-12
163,What about Fever level?,Orthopedics,2026-04-10T10:44:51.417,report_18.pdf,General User,2026-04-10
164,What about Sugar level?,Cardiology,2026-04-11T11:11:51.417,report_7.pdf,General User,2026-04-11
165,What about Headache level?,Neurology,2026-04-11T12:55:51.417,report_4.pdf,General User,2026-04-11
166,What about Dizziness level?,Cardiology,2026-04-12T05:00:51.417,report_6.pdf,Student,2026-04-12
167,What about Dizziness level?,Cardiology,2026-04-11T06:46:51.417,report_8.pdf,Student,2026-04-11
168,What about Chest Pain level?,Orthopedics,2026-04-10T16:08:51.417,report_16.pdf,Patient,2026-04-10
169,What about Headache level?,Cardiology,2026-04-11T15:58:51.417,report_1.pdf,Patient,2026-04-11
170,What about Chest Pain level?,Neurology,2026-04-11T22:32:51.417,report_4.pdf,General User,2026-04-11
171,What about Sugar level?,Endocrinology,2026-04-13T12:37:51.417,report_6.pdf,Patient,2026-04-13
172,What about BP level?,Cardiology,2026-04-12T03:51:51.417,report_15.pdf,General User,2026-04-12
173,What about Chest Pain level?,Endocrinology,2026-04-10T21:25:51.417,report_4.pdf,Student,2026-04-10
174,What about Chest Pain level?,General,2026-04-12T17:53:51.417,report_6.pdf,General User,2026-04-12
175,What about Sugar level?,Neurology,2026-04-12T15:39:51.417,report_11.pdf,Student,2026-04-12
176,What about Sugar level?,General,2026-04-11T10:11:51.417,report_2.pdf,Patient,2026-04-11
177,What about Sugar level?,Cardiology,2026-04-12T22:54:51.417,report_16.pdf,Student,2026-04-12
178,What about Sugar level?,Endocrinology,2026-04-11T03:05:51.417,report_4.pdf,Student,2026-04-11
179,What about Headache level?,Orthopedics,2026-04-12T16:26:51.417,report_12.pdf,Student,2026-04-12
180,What about Fatigue level?,Endocrinology,2026-04-10T13:55:51.417,report_12.pdf,General User,2026-04-10
181,What about Fever level?,Neurology,2026-04-13T12:23:51.417,report_19.pdf,Patient,2026-04-13
182,What about BP level?,Orthopedics,2026-04-12T20:32:51.417,report_13.pdf,General User,2026-04-12
183,What about Chest Pain level?,Endocrinology,2026-04-13T00:53:51.417,report_5.pdf,Patient,2026-04-13
184,What about BP level?,Endocrinology,2026-04-10T11:07:51.417,report_19.pdf,Student,2026-04-10
185,What about Headache level?,Cardiology,2026-04-12T00:22:51.417,report_20.pdf,General User,2026-04-12
186,What about Chest Pain level?,Endocrinology,2026-04-12T22:31:51.417,report_7.pdf,General User,2026-04-12
187,What about Dizziness level?,Cardiology,2026-04-11T13:47:51.417,report_8.pdf,Student,2026-04-11
188,What about Fever level?,Cardiology,2026-04-10T07:25:51.417,report_2.pdf,Student,2026-04-10
189,What about Sugar level?,Orthopedics,2026-04-13T03:30:51.417,report_15.pdf,General User,2026-04-13
190,What about Sugar level?,Endocrinology,2026-04-11T10:17:51.417,report_6.pdf,Student,2026-04-11
191,What about Dizziness level?,Endocrinology,2026-04-13T12:27:51.417,report_12.pdf,General User,2026-04-13
192,What about Headache level?,Orthopedics,2026-04-10T05:52:51.417,report_17.pdf,General User,2026-04-10
193,What about Headache level?,Endocrinology,2026-04-12T21:40:51.417,report_2.pdf,Student,2026-04-12
194,What about Headache level?,Orthopedics,2026-04-13T04:42:51.417,report_5.pdf,Student,2026-04-13
195,What about BP level?,Orthopedics,2026-04-13T00:58:51.417,report_10.pdf,Student,2026-04-13
196,What about BP level?,General,2026-04-10T16:26:51.417,report_7.pdf,Patient,2026-04-10
197,What about Sugar level?,Endocrinology,2026-04-13T06:33:51.417,report_9.pdf,General User,2026-04-13
198,What about Sugar level?,Cardiology,2026-04-10T16:03:51.417,report_16.pdf,Patient,2026-04-10
199,What about Sugar level?,Neurology,2026-04-12T15:28:51.417,report_20.pdf,Patient,2026-04-12
